No.,Texto
314,La banda la inmaculada ha retado a la sociedad. Sus jefes están presos. No aceptamos el chantaje.
315,Reunido en Consejo de Seguridad con la cúpula de la fuerza pública. Se presentaron 71 manifestaciones y concentraciones en el país todas pacíficas excepto dos breves momentos de gases en Medellin y Bogotá. Ningún herido en el país La presidencia recuerda a quienes quieran manifestarse en ejercicio de sus derechos constitucionales no afectar de ninguna manera las instituciones. El gobierno garantiza la independencia de poderes en el país y la libertad de sus decisiones.
316,"Lo que han intentado explícitamente sectores ajenos a la Corte Suprema de Justicia y ligados con el narcotráfico y la corrupción es no permitir el mandato que el pueblo otorgó por voto popular. Así que la ciudadanía tiene todo el derecho de organizarse democrática y pacíficamente. Atacaron el sindicato de trabajadores más grande de Colombia mientras permitían la impunidad de ingresos de la mafia en campañas anteriores. Le solicito a los maestros y maestras de Colombia, a la fuerza del saber, coordinar las juntas de organizaciones populares en cada municipio para defender la democracia y el voto popular."
317,"Lo que más me gustó hoy, además de hablar, quizás, ante la instancia más poderosa del mundo: el Consejo de Seguridad de Naciones Unidas en Bogotá; es esta marcha en Medellín por la decencia. Una Medellín progresista, diversa, de altísima cultura y arte, de conocimiento, de igualdad social, y de oportunidad para sus juventudes populares, debe ser el mayor paraíso sobre la tierra."
318,Comienzan las marchas por la decencia en Colombia.
319,"Me reuniré hoy con el Consejo de Seguridad de las Naciones Unidas en Bogotá. El Consejo de Seguridad es la instancia más importante de las Naciones Unidas. Es muy lamentable que ante esta reunión Colombia aparezca con su canciller suspendido. Hablaré con el Consejo de Seguridad sobre el acuerdo de paz con las farc que se le entregó y los problemas en su implementación. Quiero expresar mi análisis sobre la relación entre crecimiento de la migración, los bloqueos económicos y el crecimiento de la violencia en toda América."
320,La policía captura un capo de los más buscados en al vía a Villeta. https://www.elespectador.com/judicial/policia-captura-en-villeta-cundinamarca-a-uno-de-los-narcos-mas-buscado-por-el-fbi/
321,"Reunidos con el presidente de la Corte Suprema de Justicia, con el magistrado Gerson Chaverra, presidente de la Corte y su vicepresidente: Octavio Tejeiro. Un gobierno progresista no atacará la justicia pero si a la impunidad. El progresismo es básicamente justicia, ciencia y poder popular. Por eso la situación actual no debe dirigirse como una presión a las cortes La presidencia ha solicitado organizar las coordinadoras de fuerzas populares en cada municipio y departamento. Todo intento de golpe o violencia será respondido por la movilización popular general. El movimiento popular debe ganar más capacidad de decisión y poder en este gobierno. Le solicito al magisterio ayudarnos a organizar las coordinaciones de fuerzas populares"
322,"Este periodismo desnuda la realidad del poder político colombiano. Después de la desigualdad, la inseguridad es el principal problema.del país. La inseguridad se desarrolla no solo por la acción de bandas delincuenciales sino porque estas están protegidas desde el estado. La corrupción es la causa de la violencia. Que el órgano que debe investigar el crímen esté penetrado por el crimen es el mayor peligro de seguridad que hoy tiene la sociedad colombiana. Una justicia transparente y una sociedad justa son los mayores recursos para derrotar el crimen. https://revistaraya.com/vicefiscal-marta-mancera-si-encubre-a-directivo-del-cti-senalado-de-narco-y-estas-son-las-pruebas.html"
323,"La Policía Nacional capturó a Michael Humberto Pérez Cadavid, alias ‘El Gato’, jefe de la banda ‘Los Chagreros’, responsables del homicidio de al menos 112 personas, incluidas las 10 asesinadas en la masacre de Betania, en 2020."
324,Esta es la sentencia de la Corte Interamericana de Derechos Humanos sobre la responsabilidad estatal en el exterminio de los militantes del partido político Unión Patriótica. Miles de militantes del partido de izquierda fueron asesinados en Colombia con la complicidad del estado. Las sentencias de la CIDH deben ser cumplidas integralmente por el estado colombiano según nuestra constitución y la ley pero aún hay secciones del estado que se niega a hacerlo. Esta sentencia debe ser publicada en todos los medios de comunicación del país https://www.corteidh.or.cr/docs/casos/articulos/seriec_455_esp.pdf
325,Cae capo por la colaboración entre la policía colombiana y ecuatoriana
326,No pueden personas que apuntan armas contra la población civil dar clases a los soldados de la patria. Lo único que enseñarán es crímenes de lesa humanidad.
327,Las tanquetas que compró Duque para reprimir a los jóvenes ahora las utilizamos para apagar incendios.
328,Así lucha nuestra fuerza pública por la vida.
329,Casi tres toneladas de cocaína incautadas en Santa Marta.
330,Capturado un torturador y descuartizador de seres humanos en Bogotá
331,"Dos toneladas de drogas incautadas por la fuerza pública de Colombia, Peru y Brasil"
332,"Siempre ante hechos de ruptura institucional de la extrema derecha, máxima movilización popular. Por el cambio, por la paz y por la esperanza, no volvemos al pasado. Con tranquilidad Colombia será mucho más democrática y justa"
333,"El pasado 14 de enero, en el marco de la cooperación entre La Policía Nacional, Reino Unido y México, se logra en la ciudad de Cancún, la ubicación con fines de *aprehensión para deportación asistida a Colombia y posterior captura* en Bogotá de *_Nelson Enrique Bautista Reatiga alias “Poporro”_*, principal coordinador del tráfico de migrantes desde Colombia hacia los Estados Unidos de América. Está solicitado en Colombia mediante orden de captura por los delitos de ""concierto para delinquir agravado, fabricación, tráfico y porte de armas de fuego, homicidio agravado, tentativa de homicidio agravado y tráfico, fabricación o porte de estupefacientes. Es cabecilla principal de la organización narcotraficante *""Los del Sur""*, responsable de múltiples homicidios y comercialización de cocaína desde Santander y Norte de Santander."
334,Todos los detenidos que ejerzan extorsiones sobre la ciudadanía deben ser enviados a cárceles de alta seguridad.
335,No se permitirá que delincuentes amenacen la ciudadanía desde las cárceles.
336,"Otro golpe al ""Clan del Golfo""."
337,"Mientras logramos reducir el impacto del conflicto armado en nuestro país, aparece una nueva amenaza a la seguridad que recorre todas las Américas: ""Las bandas multicrimen"". Esta nueva modalidad delictiva cobra fuerza a partir de una política equivocada sobre las drogas en EEUU, de los bloqueos económicos que han empobrecido pueblos enteros y los ha hecho migrar, y de la inmensa desigualdad social de los países americanos"
338,El desmantelamiento de bandas via acogimiento colectivo a la justicia o por acción represiva es una decisión de nuestro gobierno. La banda es el producto de la exclusión social. Luego la seguridad es tambien el producto de la equidad.
339,"El Consejo de seguridad de la ONU será bienvenido en Colombia. El gobierno está por la aplicación integral del acuerdo de paz con las Farc: Reforma Agraria, transformación de los territorios excluidos y verdad integral bajo jurisdicción de la JEP."
340,Más seguridad es más estado. Menos estado es más inseguridad. La destrucción del estado por la política neoliberal ha construido el mundo de la barbarie y la fuerza bruta
341,Disminuyó en un 16% la muerte de líderes sociales en el año 2023. Transformar el territorio para salir de las economías ilícitas es el camino para llevar esa cifra a cero.
342,"Hemos tenido 12 heridos y un soldado muerto, el soldado profesional Orlando Caballero Caballero, en acciones contra el Clan del Golfo en Turbo."
343,En una mente democrática y progresista no esta la palabra castigo. El castigo como la venganza están en mentes retrógradas.
344,Van 4 toneladas de estupefacientes incautadas en los mares en el dia de hoy.
345,"Felicitaciones a México. Después que los yupis neoliberales acabaron la red férrea de México como en Colombia, el ejército de México por orden del gobierno de Manuel Lopez Obrador construyó este tren en su mayor zona turística: la zona Maya. Hemos dado la orden al ejército de Colombia de construir una linea férrea entre Villavicencio y Pto Gaitán para abrir la altillanura a la producción de alimentos En Pto Gaitán, el rio Meta es navegable y por el Orinoco se llega al mar. La producción de Bogotá y los Llanos tambien pueden salir al mar por aquí."
346,"La Armada de Colombia realizó una incautación de 384 toneladas de coacaína el 2023. Con los demás resultados de las demás fuerzas y con los datos de fiscalía, presentaremos consolidado total de cifras."
347,"El batallón de ingenieros militares han logrado en el 2023 la construcción de 11 puentes Este año han batido record. Buena parte de las obras en los territorios exluidos serán hechas por la fuerza pública. Tenemos el reto de la línea férrea Villavicencio, Pto Gaitán en manos de la escuela de ingenieros y los batallones de ingenieros de las fuerzas militares"
348,Juventudes que se encuentran para construir un país en paz y que camine por la senda del saber y la cultura.
349,Claro Rafael que la universidad gratuita se paga con tus impuestos y los mios. Malo sería que con nuestros impuestos se pagaran las balas con que asesinaron 6.402 jóvenes. Es mejor toda la vida que con los impuestos la juventud pueda estudiar y no que sea asesinada con ellos.
350,"Otros tiempos, otras mentalidades. En esta época la Paz sonaba a esperanza, a un país por construir. La realidad histórica fue haciendo de la paz una desilusión, sobre ella se montó el odio y el miedo, y al final hubo quienes aplaudieron por hacerla trizas. En esta ápoca la paz, sin ingenuidades, debe resignificar de nuevo la ilusión para construir un país donde quepamos todos y todas."
351,"Este es el colegio Pedro Nel Jimenez, en Panamá de Arauca, Arauquita. Dará clases de secundaria y clases con créditos universitarios Entre más colegios y universidades tengamos en Arauca más Paz habrá en el territorio. La paz es la transformación de las regiones de Colombia"
352,"Se incauta 4.2 toneladas de estupefacientes. Cada vez sale más cannabis ilegal y la cocaína parece decaer. La rentabilidad del cannabis tiene solo una causa: mientras el mundo legaliza, Colombia ilegaliza. Se le esta ofreciendo un festín a los narcotraficantes y Colombia pierde"
353,Esta es la realidad estadística de las masacres. Juzgen ustedes. Decidieron hacer trizas la paz y ahora se esconden cuando tienen que asumir las consecuencias. Tiran la piedra y esconden la mano.
354,Felicito a los fiscales y a las entidades del gobierno nacional que ayudaron a incautar 420.000 millones de pesos en bienes del Cartel del Golfo.
355,"No me gusta este cuadro, es el número de masacres realizadas por año. Lo publicó un partido de oposición: Cambio Radical. Si lo analizan, de ahí la doble moral del partido Cambio Radical y del Centro Democrático, fue en el gobierno que ellos apoyaron donde se dispararon las masacres después de su caída con los acuerdos de paz. Hacer trizas la Paz costó este crecimiento exponencial del número de masacres en el gobierno de Duque. La cifra del 2023 muestra que se detuvo el crecimiento, pero mo me gusta para nada. Esa curva debe disminuir sustancialmente en mi gobierno"
356,"A partir de hoy entrar al ejército, la armada y la Policía no tiene ningún costo para él o la aspirante."
357,"A través de operaciones de inteligencia de la policía nacional se ha capturado a Jacobo Rodríguez Usuga, alias ""Atilio"", integrante del clan del golfo y jefe de sus envíos de cocaína al exterior. Se calcula la exportación mensual de más de 15 toneladas de cocaína que este hombre lograba realizar."
358,"Mi estimada senadora Cabal, la moral de la fuerza pública se agranda cuando rescata niños de la selva con vida, cuando no recibe ordenes de bombardearlos, cuando ya no los procesan por recibir órdenes de civiles que los premian por bajas. Cuando la juventud en sus tropas recibe más educación y mejor remuneración. Cuando ve que se retira a sus mandos corruptos. Cuando la seguridad se mide en vidas y no en muertos"
359,Más droga incautada en Cartagena
360,"La política de seguridad del gobierno se basará cada vez más en la inteligencia. Todas las armas estan llenando en este momento el faltante de miles de hombres y mujeres en la formación y actividad de inteligencia hasta los aspectos más complejos. El objetivo es desactivar las economías ilícitas y las organizaciones armadas que sostienen. Al lado de las grandes operaciones de incautación de drogas, el fortalecimiento de la inteligencia de la fuerza pública son los dos pilares de la politica de seguridad de nuestro gobierno. Pero la politica de represión a la gran organización multicrimen tiene que moverse en la política social de transformación real del territorio sin la cual pierde su eficacia."
361,Capturado presunto asesino del alcalde de Guachené
362,Una feliz navidad a todos y todas ustedes. Que el dialogo y la paz restablezcan el camino de una Colombia Potencia mundial de la Vida.
363,La violencia en el Cauca es el efecto de un intento de las organizaciones armadas por tomar el control de las comunidades y las organizaciones populares. Aprovechan la conflictividad interétnica y el poder de la economia ilícita. Todo el movimiento popular debe oponerse al intento de control ejercido sobre la base del miedo y de la muerte. El estado está al servicio de su paz y su bienestar El año entrante estaremos con al mivilización popular en contra de la violencia y con el proceso de sustituir economías ilícitas por lícitas. En el Cauca debe surgir el Poder Popular por la Paz.
364,"Comienza ""Jóvenes en Paz"""
365,"Se ba incautado un total de 3,4 toneladas de cocaína en Barranquilla"
366,La policía nacional incauta dos toneladas y media dd cocaína en el puerto de Barranquilla.
367,"Es fácil quitarle a la palabra ilícito la i y se lee lícito. En esa maniobra pero en la realidad consiste la paz de Colombia. Cuando unos sectores políticos impiden quitar la letra i a lo ilícito condenan al país a caminos de muerte y de barbarie. Fortalecen lo ilícito, hacen ganar al narcotraficante. La economía ilícita puede ser reemplazada por la lícita, este es hoy el camino de la paz. Se puede hacer de dos maneras; logramos que se reemplace la economía ilícita por la lícita o logramos transformar lo ilícito en lícito."
368,Solo tienen que comparar la lista de senadores condenados por nexos con el paramilitarismo narcotraficante y quienes votaron por suspender la dosis personal y criminalizar a los consumidores. Encontraran que son los mismos; ¿por qué? Porque el narcotráfico solo gana en lo ilícito y no en lo lícito.
369,Desmantelamos una de las principales redes de extorsión que operaban en 18 cárceles.
370,11 toneladas de cocaína producida en Colombia fueron incautadas por el gobierno español. Felicitaciones.
371,Esto no es cierto. Vuelve y juega. La dosis personal de cannabis esta permitida en Colombia por decisión de la Corte Constitucional. De lo que se trataba es que la producción se legalice y Colombia pueda exportar cannabis a los países que ya la han legalizado. Quien pierde es Colombia que podria reemplazar así economías ilícitas. Quien gana es el narcotráfico que puede hacer crecer sus arcas de la muerte.. Hay políticos que ayudan a sostener la rentabilidad del narcotráfico
372,Con tumbar la ley de legalización del cannabis lo único que se hace es elevarle las ganancias al narcotráfico y su violencia.
373,Señor fiscal capture a los narcotraficantes sobre los que tiene pruebas en la fiscalía. Esos narcotraficantes están asesinado al pueblo. Deténgalos.
374,Ayer decían que Colombia es una potencia del crimen. Tienen razón. Este es el resultado de la violencia según tasa de homicidios en el año 2021. Nosotros queremos sacar este país del marasmo de sangre en que lo dejaron en una potencia de la Vida. Defícil pero el pueblo colombiano se lo merece
375,"Capturado el presunto asesino de Michel Dayana,"
376,Desde cárceles extorsionaban. Desmantelada una gran banda de extorsionistas en Antioquia.
377,"Capturado el asesino.alias ""Satanas"""
378,"Si vas a comercializar drogas en la esquina de tu barrio, vas preso Diego Santos."
379,Este es el resultado de una estrategia de incautación de droga.
380,"Si es inconstitucional el decreto que pone sanciones administrativas a una libertad otorgada por la constitución, tambien es inconstitucional una ley que diga lo mismo que el decreto. Entiendan el consumo de drogas no se trata con calabozo ni con multas policivas. El consumo adictivo de drogas se trata con métodos de salud pública."
381,"Usted fue ministro de justicia, no desinforme a la población El decreto que derogo nada tiene que ver con el expendio de drogas ni su comercialización. Solo impide que lo que sucedía en su gobierno continue: hacer que la policía urgara en los bolsos de las jóvenes pobres, las llevaran al CAI y sucedieran acosos, la derogatoria solo impide que a los jóvenes se les encierre en CAIs y se los golpee, o se les aplique electricidad o mureran quemados vivos dentro de esos CAIs como en Soacha. La derogatoria solo impide que nunca más estallen las guerras invisibles entre jóvenes pobres y excluídos y la policía y que disparen desde los CAI. Eso terminó. En mi gobierno no habrá falsos positivos, jóvenes sin ojos, muchachas violadas o miles de jóvenes encarcelados por protestar. La guerra contra la juventud terminó. A diferencia de ustedes no consideramos la juventud, el enemigo interno."
382,"Estamos en un país donde ha hecho carrera que la lucha contra el narcotráfico es poner presos campesinos cultivadores de hoja de coca y jóvenes consumidores pobres, mientras el poder se abraza con los grandes capos del narcotráfico y recibe sus donaciones."
383,"La distinción entre consumidor y jíbaro es un asunto de inteligencia policial simple. Los objetivos de la policía local son la destrucción de la banda delincuencial, la olla y la convivencia ciudadana."
384,"No veo por qué derogar las multas que puso Duque de manera inconstitucional haga disfuncional la familia. Al contrario, la herida abierta entre la juventud barrial y la policía local se puede cerrar al dejar de ejercer el estado una persecusión insensata contra los jóvenes de los que se sospecha son consumidores solo por ser jóvenes; la mayoría no son consumidores. Al derogar el decreto las multas y el raqueteo que conlleva, la llevada al CAI y en muchos casos el golpe, la extorsión e incluso el abuso de mujeres cesan. Podemos hablar de Paz al barrio. Todas las normas de penalización de la comercialización de drogas y el narcotráfico siguen vigentes. En los gobiernos de Uribe y Duque se construyó como enemigo interno a la juventud barrial, eso llevó al ajusticiamiento de miles de jóvenes y al estallido social respondido por el estado con decenas de muertos y miles de detenidos, todos jóvenes. Esa guerra contra la juventud ha terminado. La policía debe lograr acabar las deconfianzas barriales con la juventud y centrarse en lo que la ley prohibe. Capturar al capo, al lavador de dólares, y capturar a los delincuentes que azotan a la ciudadanía La juventud del barrio no es el enemigo, es la Nación futura."
385,"Señores @rcnradio el decreto no es sobre venta de drogas sino sobre derogar multas por porte de drogas determinada por la jurisprudencia, asi que no tengo que defender nada. La Justicia se acata"
386,"Ojo, no se deje engañar por los desinformadores. Lo único que ha hecho el gobierno es derogar la multa por porte de dosis personal porque así lo indicaron las cortes Todo lo demás continua igual. La prohibición de consumo en lugares públicos lo debe establecer cada municipio. Tambien esto es mandato de la corte constitucional que acatamos y con la que estamos de acuerdo."
387,"Estoy viendo que ya ciertos sectores de la prensa confunden contravención de policía que se expresa en el código de policía con delito, que se expresa en el código penal. Si la constitución permite la dosis personal, la actividad de la policía no se debe centrar en perseguir consumidores de estupefacientes sino en perseguir los grandes capos de la droga y en perseguir los delitos que afectan la ciudadanía"
388,"¿Cuántos jóvenes detenidos por el estallido social han sido condenados? ¿Cuántos voceros de paz, jóvenes detenidos por el estallido liberados por la ley de paz total, puede hoy detener el fiscal? La vocería de paz nunca detuvo los términos de la investigación penal. ¿No se vencieron los términos sin que la fiscalía pudiera demostrar que los jóvenes de las protestas eran terroristas? ¿Qué significa que se hayan detenido miles de jóvenes sin que al cabo de 4 años la fiscalía demuestre que cometieron delitos?"
389,"Los jóvenes de primera línea y de segunda y de tercera, y más allá no son victimarios, son las víctimas de un estado que no solo les quitó ojos y los encarceló por miles sino porque los dejó sin educación y sin oportunidades. Jamás la protesta social debe criminalizarse. Eso no es posible en un Estado Social de Derecho. La Corte Constitucional, a la que agradezco su apoyo a la posibilidad de hacer una política de paz, tiene razón. Los jóvenes que criminalizaron por protestar no son sujetos de una ley de paz simplemente porque esos jóvenes nunca estuvieron en guerra. Esos jóvenes nunca debieron estar presos Lamentable la sociedad que se alegra de su juventud presa, con razón esa sociedad sin democracia aplaudía que asesinaran 6.402 de sus hijos inocentes solo para creer en una seguridad basada en los muertos y en las rejas."
390,Vamos a ampliar la capacidad del batallón de ingenieros del ejército en obras civiles: pistas aéreas internacionales y vías férreas.
391,"Se le entrega a firmantes de paz en el barrio 7 de agosto de Bogotá, una bodega que antes era de narcos para producir allí cerveza."
392,"No es solo sustituir cultivos ilícitos es sustituir economías. Este es el gran reto de los procesos de paz. Queremos un territorio próspero en manos de su ciudadanía, una reforma agraria real y un proceso de la verdad integral y no fragmentada en el país."
393,Otro gran narco que cae.
394,En mi opinión los niños no deberían estar presos.
395,"Sonidos para la construcción de la paz, busca llevar el estudio teórico y práctico de la música en todos los colegios de Colombia"
396,"En Santa Marta se respeta el voto popular, asi se disparen armas. Los tiempos del paramilitarismo se acabaron."
397,"Quiero que Bogotá, Barranquilla, Cartagena, Cúcuta sean las avanzadas de la nueva política de seguridad de mi gobierno: Inteligencia policial a profundidad para desmantelar las grandes bandas que crecen incluso con ayuda de algunos políticos."
398,"Si existe la posibilidad de que los campesinos puedan regresar a sus tierras y trabajarla sin temor, que las madres no tengan que ver cómo la violencia les arrebata a sus hijos, que la juventud pueda crecer rodeada de libros y no de armas, y que nuestros soldados y policías tengan la certeza de que volverán con sus familias una vez termine su servicio, si existe esa posibilidad, por pequeña que parezca, la sociedad colombiana puede tener la seguridad de que este gobierno hará todos los esfuerzos por hacerla una realidad."
399,"No solo superamos de lejos la incautación de droga del anterior gobierno en su primer año, sino tambien en todos los años de su gobierno, van casi 650 toneladas de cocaína incautada."
400,"Lo dije el 7 de agosto el día de mi posesión y lo reafirmo hoy. Para que la paz sea posible en Colombia, necesitamos dialogar, dialogar mucho, entendernos, buscar los caminos comunes, producir cambios. La paz implica que cambiemos, indudablemente."
401,Hoy hace 4 años la juventud de Colombia se mivilizó en el estallido social. Decenas de sus líderes aún estan presos tratados como terroristas. La protesta social no puede ni debe criminalizarse. https://elpais.com/america-colombia/2023-11-21/cuatro-anos-de-un-paro-nacional-que-cambio-la-historia-de-colombia.html
402,"Así se toman las instituciones y las convierten en exportadoras de cocaína y en importadoras de armas ilegales. Usan el mismo estado para potenciar el crimen. La razón de la inseguridad está en la capacidad de cooptación del criminal sobre el estado. Convierten instituciones que deberían perseguir, investigar y hacer justicia, en instituciones de bolsillo del criminal. https://cambiocolombia.com/los-danieles/pacho-el-malo"
403,Caen jefes del cartel del golfo.
404,"Se irradian ""fake news"", noticias falsas, con ayuda de la prensa y a pesar de la rectificación posterior el mal queda hecho. Esta actividad que se ha vuelto cotodiana sobre el gobierno en donde cualquier integrante de la prensa con cualquier preparación cree que su actividad consiste en interpretar actuaciones de tal manera que se ataque al gobierno produce informacion malintencionada y manipulación de la ciudadanía. Reproducen la información falsa antes que se corrobore, sin siquiera contrastar la información que es obligación periodística. ¿Por qué solo ocurre de manera cotidiana con este gobierno? Porque los objetivos sociales propios y adelantados en el gobierno del cambio son contrarios a los objetivos económicos particulares de los dueños de los medios y a su propia vision de la sociedad colombiana. La búsqueda de desprestigio a como de lugar, tiene como objetivo disminuir el apoyo social y de esa manera poder detener no solo las reformas y el cambio, sino al gobierno mismo. Al construir el rechazo al gobierno con la reproducción de la mentira y manipular así a sectores de la población con una indignación mal fundada como pasó con la noticia falsa del predial por ejemplo, lo que se construye es una senda social para el apoyo de un violento gobierno de extrema derecha, que ya no será de algún político sino de un ""outsider"", surgido incluso entre los fabricantes de ""fakenews"" para que acabe con todas las refomas del país y hunda a colombia en al violencia de las sectas. La acumulación de riquezas se ha generado es a partir de la sangre y la muerte de los y las colombianas. Para acumular más riquezas necesitan más violencia. La perspectiva del gobierno de concertar con el país los caminos de la reforma social para disminuir la desigualdad, la pobreza y salir de la violencia en forma definitiva no les gustan. quieren más y más sangre para ser más y más ricos. Solo habría que preguntarse porqué no les gusta que aparezca la verdad sobre la violencia pasada. Por qué incluso con ""lobbys"" de ex presidente quieren que no se escuche la declaración de alias Macaco ante la JEP, o se la recorte. Es la verdad, el cambio del territorio, la tierra y la educación el camino de la transformación de Colombia. Por eso elevamos sustancialmente el presupuesto de la educación pública, hacemos girar los acuerdos de paz hacia la transformación de los territorios olvidados y adelantamos con esfuerzo una reforma agraria pacífica. La organización y movilización popular son la fórmula para detener el proyecto de la extrema derecha montada sobre la mentira y el miedo. La movilización y organización popular y la construcción del gran Frente Amplio por el cambio, sin sectarismos y pequeñeces, son el camino para profundizar la transformación de Colombia"
405,"Incautamos en operaciones de interdicción de la Armada, 1,8 toneladas de cocaina que iban en un submarino."
406,Cualquier escuela de formación de la fuerza pública será gratuita.
407,"El análisis de este grupo de periodistas sobre el mercado mundial de la cocaína que tiene como base la lectura de decenas de miles de documentos de la fiscalía colombiana y que debió haber hecho nuestra fiscalía, nos da la razón, en el análisis que hice de cara a construir una estrategia de seguridad humana y paz en el país. Colombia perdió el monopolio sobre la cocaína, pasamos de un sistema de carteles colombianos hacia una libre competencia mundial, el Fentalino detiene el consumo de cocaína en el norte, y el consumo de cocaína se expande hacia el cono sur de América, Europa, Rusia y China. El procesamiento de la pasta de coca sale de Colombia y se concentra en Europa, y después de un millón de muertos, la llamada guerra contra la droga ha fracasado. Por esto se ha detenido la expansión de cultivos de hoja de coca en Colombia, y se deterioran las tradicionales zonas cocaleras del país. En Colombia quedan los muertos, las organizaciones armadas, la explotación del campesinado y el dinero queda en otras partes del mundo. En este contexto la sustitución de economías ilícitas por licitas en territorios concretos de nuestro país se vuelve posible, y la posibilidad de la salida de la violencia. Las organizaciones armadas colombianas son apenas, sirvientes funcionales de un narcotráfico cuyos verdaderos jefes estan fuera del país. La división internacional del trabajo en el mercado de la cocaína le deja a Colombia los muertos, mientras el dinero queda fuera. la irradicación mundial del mercado y la produccioón de la cocaína, y la transformación de la mafia de carteles locales colombianos a multinacionales en red en libre competencia nos muestra, la pertinencia de la discusión sobre la legalización del consumo, para destruir este nuevo monstruo que se crea. En Pearl Harbour, hablamos de una reunión de los gobiernos de China, EEUU, México y Colombia, que mi gobierno propondrá, para mirar como se interconecta las rutas del Fentanilo de Asia hacia América, con las rutas de la Cocaína desde América hasta Asia. ¿Cómo se diseña un proceso de paz en Colombia en esta nueva fase de la violencia en el país? ¿cómo seria de errada una estrategia de seguridad pensada para anteriores fases de la violencia en Colombia, política, ideológica, si se aplican de manera ignorante a la nueva realidad de las economías ilícitas como ejes centrales de la violencia actual?"
408,"El que despues del acuerdo con las Farc, el gobierno no fuera capaz de transformar los territorios pacíficados en territorios del estado de derecho y economías lícitas, fue una gran derrota del estado y de la paz. esa pasividad en transformar el territorio le hizo un gran daño histórico al país. Ayer en el consejo de ministros mostré esta deficiencia y la necesidad que nuestro gobierno pueda mostrar una senda, hoy inédita, de transformación del territorio en medio de un proceso de paz. Es el reto del gobierno del cambio y es el eje de la política de paz del gobierno"
409,"Es cierto que el pueblo del plateado en el cañon del Micay, Cauca, quiere a la fuerza pública y sustituir las economías ilícitas. Estos territorios como el Micay, eran controlados antes por las Farc. Con los acuerdos de paz, no pasaron a la construcción de un estado de derecho, sino que fueron abandonados por el Estado, por la actitud displicente del pasado gobierno copn el proceso de paz de Santos. Los territorios pasaron entonces a los nuevos grupos armados, muy ligados a las economías ilícitas. El Plateado se convirtió así, en una especie de bolsa de la cocaína a donde iban diferentes representantes de mafias a negociar. La base de la fase actual, de la violencia es la economía ilícita y su lucha por controlarla. Estos territorios no han sido ganados militarmente por los nuevos grupos, sino más bien el estado les ha abierto las puertas; en algunos casos como el cañón del Micay, han sido ocupados ilegalmente gracias a la ayuda de funcionarios que reciben sobornos. Las denuncias sobre mandos de la fuerza pública que entran en asocio con los nuevos grupos para rentar del negocio ilícito han aumentado. Mientras en la violencia liberal/conservadora, y en la de la insurgencia/estado la separación entre el estado y sus rivales eran tajante, en la fase actual, esa separación no es es tan tajante porque, a diferencia de la política y la ideología como ejes vertebradores de la violencia, el dinero y la economía ilícita que lo produce genera una base objetiva de asociación. Esa asociatividad entre economías ilícitas y funcionariado corrupto, potencia a la economía ilícita y por tanto al actor armado ilegal. En el caso dell cañon del Micay éste fue ""cedido"" al Estado Mayor Central de esa manera. Mi gobierno inició un proceso de saneamiento de la fuerza pública, aún incompleto, y decidió recuperar militarmente el cañón del Micay. Personalmente di la orden de comenzar la ""operación Trueno"" para recuperar el cañón, articulado a una estrategia de sustitución de su economía ilícita de manera integral. La operación retomó todas las posiciones dominantes alrededor del Plateado y bloqueo la salida de la economía ilícita. En medio de la ""operación trueno"" se presionó el cese al fuego y el inicio de la negociación con el EMC. Al EMC en el decreto presidencial se le estableció priorizar el abandono de los centros poblados y las vías principales y secundarias y colaborar en la sustitución de la economía ilícita. Eso significaba abandonar el Plateado y su vía de conexión con Argelia y el cañón del Micay. Alisté el gobierno para iniciar las inversiones para una sustitución de su economía. En la fase actual de la violencia, el proceso de paz debe comenzar por un acuerdo de sustitución de economías ilícitas por lícitas con ayuda del Estado. Significa esto que la paz se convierte en una política territorial. La paz lleva a un territorio donde prime el Estado Social de Derecho, la economía sea lícita y las ciudadanías tengan el gobierno real y sean sujetos de derechos fundamentales El EMC ha resuelto no asistir a la mesa de negociación sin romper la tregua. Eso no es posible. El cese al fuego solo es posible si avanza la negociación en sustitución de la economía ilícita y el fin de hostilidades a la población civil."
410,"Hoy la @PoliciaColombia cumple 132 años al servicio de todos los colombianos. Un saludo caluroso a todas y todos los funcionarios que gracias a su compromiso y trabajo, enmarcado en la defensa de los DDHH, enaltecen cada día el nombre de la institución."
411,Casi una tonelada de cocaína es incautada en Cartagena por la policía.
412,"Mi querida amiga senadora, ese lugar deshonroso para Colombia lo tenemos desde hace varias décadas que incluyen todos los gobiernos que usted apoyó. Es el resultado de la articulación del narcotráfico al poder político, para que lo entienda mejor, es el resultado del papel de los ñeñes y los calzones y otros por el estilo, en las fuerzas políticas de las que usted hizo parte. Nosotros estamos deshaciendo lo que en el pasado hicieron: entregaron el país al narcotráfico, nosotros se lo entregamos a la ciudadanía."
413,"Incautadas 1,4 toneladas de Cocaína"
414,"Inicia el segundo proceso de paz en Colombia después del proceso con el ELN: l proceso con la EMC, Estado Mayor Central. Inicia el cese al guego y la suspensión se hostilidades contra la poblacion civil en todo el país."
